country,ratingScore,reviewDescription,reviewTitle,Model,Core
United Kingdom,3,Before buying keep in mind that you might need a good cooler. I bought Noctua D15 which is very good at cooling and it costs me more than 100. So add more 100 while thinking to buy any intel high end processors.The delivery was also late.,Good processor with a bad cooler,i7 12th Gen,i7
United Kingdom,4,Costs a lot and I do not recommend to anyone with a tight budget like £900 if you have a tight budget I suggest the ryzen 5 5600x but overall the cpu is great and it works perfectly fine with any game,Works great,i7 12th Gen,i7
India,5,Ultimate Performance,....!,i7 12th Gen,i7
United Kingdom,5,"Upgraded PC with mother board and graphics card, new board did not facilitate my older processor. Bought this as I considered it fast enough for my needs and at a reasonable price. All works great.",Fast enough for my needs,i7 12th Gen,i7
United Kingdom,5,"Paired this with 32gb corsair dominator DDR5 @5800mhz , asus prime A , and a 3070ti on windows 11 and I'm having a really smooth experience. Games run flawlessly and much smoother than my 10900k, went into Bios and unlocked the 65w limit and away you go. The cpu stays cool (under lian li galahad 240). Really can't fault it in anyway.",12700 non k,i7 12th Gen,i7
Germany,5,One of the best computer processor.,Use only 60w and is very good and powerful Intel Core.,i7 12th Gen,i7
Germany,5,"I have had this CPU for a few weeks now, I am impressed with its performance. However, it definitely needs a a better cooler. The one provided in the box is not sufficient even for single-threaded workloads. Though I guess this is expected ...","Nice processor, but needs an external cooler",i7 12th Gen,i7
United States,1,Sent a used CPU box said “thanks to you this product has a new life”No where does it say this is used product,Sent a used product,i7 13th Gen,i7
United States,1,"I received this CPU in the Intel box, but the plastic holder was loose inside the box.I thought it just came loose, so didn't worry about it. After opening:1. There was no marking on the top of the CPU  - there were scratches, looked like someone had scrubbed off thermal paste.2. There was thermal paste residue in the plastic packaging, and noticed a small amount of thermal paste on the CPU connections.I did not attempt to install - returned it right away, and ordered a replacement. It looked like a genuine product, but was probably a return, not new.Be sure to thoroughly check this product before installing.",Check before installing,i7 13th Gen,i7
Canada,1,STILL FIGHTING FOR OUT REFUND! ITEM WAS NOT IN BOX WHEN SHIPPED!!,GARBAGE!,i7 13th Gen,i7
United States,1,"One year later, this CPU has completely failed. Not an issue with any other of my components, everything else is working fine with including PSU with a new CPU. Very disappointed in the quality control from Intel on this chip. It's had very low temperatures from a large liquid cooler its entire life.",Failed after one year of use,i7 13th Gen,i7
United States,1,The return window closed and the processor stopped working. Negotiations with the manufacturer have not yet led to anything. Intel wants me to test the processor myself. Brilliant proposal.A large company that cannot quickly and efficiently resolve the issue of returns.,The process doesn't work.,i7 13th Gen,i7
United States,1,came in with the sticker void peeled but when i opened the box it looked new so i installed it. Motherboard lit red saying has a problem with CPU so i reinstalled it again see if the pins are bent and reseated cpu again. lit red again so i bought another CPU and installed it and it worked.,DEFECTIVE!!!,i7 13th Gen,i7
Canada,1,Received in an unsealed box and already used.,Open box,i7 13th Gen,i7
United States,1,i was waiting to install the cpu well i got the cpu box the seal was broken and no cpu was in the box,1 star for everything i got the package got the cpu box but the seal was broken and no cpu,i7 13th Gen,i7
United States,3,"You have to tune this chip for efficiency. Do not attempt to run this using stock motherboard settings. It will thermal throttle. I set mine to 88 watts, with a slight overclock. I keep all cores enabled. I have about 15-30 other settings to tune for efficiency.Now it runs cold\low fan speeds. You lose 5-8% of performance, but its not worth it. These chips should have been binned for slower speeds and power usage.Also over priced.",Overrated Chip. Over Priced,i7 13th Gen,i7
United States,3,But it runs very hot and needs a massive cooling system.  Even with the system I have I cannot overclock because it would exceed temp limits.,Fast processor,i7 13th Gen,i7
United States,3,"Using the best Noctua air cooler money can buy on this, and yet it'll hit 95c on Modern Warfare 2? That's pitiful. It performs fine, but I expect those temps to put a significant ding in the processor's longevity.",95c? WHILE UNDERVOLTED!?,i7 13th Gen,i7
Canada,3,"Unless you intend to warm up your entire house and pay a hefty sum for your electricity bills, I don't recommend this new line of work by Intel. The thermal properties are far from acceptable in 2023.",Embarrassing,i7 13th Gen,i7
Canada,4,Really love this processor it’s really fast using the adobe apps. Recommended for content creation.,Recommended for content creation.,i7 13th Gen,i7
United States,4,"After too many years of gaming on an old i7-6700K I finally decided to pull the upgrade trigger this year.  I purchased the most up to date CPU and other components with the hope this one will last me as long as the last one did. Overall I think this is a great CPU, however it is a bit frustrating when you try to cool these things. Intel just keeps pushing these CPUs harder and harder to try and beat the performance metrics of AMD, but in the process they are making CPUs that are anywhere from near impossible to difficult at best to keep cool. After a lot of tweaking in the BIOS I finally got this one to stay below the 90 degree Celsius threshold, but that doesn't account for how hot it still makes my room when I'm gaming. The extra heat was kind of nice during the winter months, but as summer is approaching I'm wondering how this is going to pan out...Anyway, the CPU is completely as advertised and worked flawlessly out of the box. I didn't run into any errors or issues with this CPU. Overall I 100% recommend it because Intel has never let me down. I've been building my own systems for more than 20 years now too, so that's a pretty long track record of CPUs that just worked and never died. Because of that I can easily recommend this CPU and I would definitely order it again.","Great CPU, but hard to cool",i7 13th Gen,i7
United States,4,"I had a Ryzen 7 3800xt cpu for a while now so I went for a new upgrade and went for Intel for this generation. This processor works faster and better compared to what I had previously. This cpu is basicaly like an efficient i9 12900k, so if your looking for a high end processor just get this 13th gen. Also at this time the 14th gen i7 just got released but based on the reviews its more like a 13th gen Intel ks proccesor. That why I never went that route.",Worthy Upgrade For 2023,i7 13th Gen,i7
United States,4,I’m sure the chip works beautifully but I had no idea the k series didn’t come with a cooler which is very upsetting for the price point. I now realize very small at the bottom of description it says no thermal cooling. Wish it said that in the main details.,Main title needs more info,i7 13th Gen,i7
United States,4,"fast cpu, did not come with a cpu cooler. Make sure you get agood cpu cooler if you play games!!! This cpu runs very HOTif you max it out. Recommend water cooler or LARGE air cooled.",FAST,i7 13th Gen,i7
United States,4,"I got this for a new system build even though a little higher than I like to spend. But it has performed great.After, I noticed a drop in performance and doing research, I found out that these run very very hot and the thermal protection had kicked in to throttle the processor down. I tried a few Air cooled options that did the trick, but they were too loud for me, so I ended up with a Liquid cooled option which is what I would recommend to anyone using this processor. Currently, my idle temps are around 41c and at 100% utilization, temps average around 60-70 with a quick peak of 95. I dont personally like to overclock for my own reasons, but I did do some overclocking on this for testing and everything worked great with what I did. 13th Gen blows away 12th gen. This I7 even bests the i9 12th gen. Great chip as long as you keep it cool.",Screaming fast processor that runs really hot.,i7 13th Gen,i7
United States,4,Product is great. Delivery was a let down.,Product is great. Delivery was a let down,i7 13th Gen,i7
