country,ratingScore,reviewDescription,reviewTitle,Model,Langauge
Australia,5,Item arrived from Germany to Australia in reasonable time.Parcel required signature on delivery.Packaging adequate to protect the goods.,Genuine intel cpu,i9 13th Gen,en
Sweden,5,"It does the job, but it does get hot. Running Blender at 100% CPU is going to make a lot of heat, even with a big radiator.",A beast that generates heat.,i9 13th Gen,en
United Kingdom,5,"I installed this CPU a month or so ago now, alongside 64gb RAM, on an ASUS TUF Gaming Motherboard.The TLDR; It's lightening quick, and It's super easy to install. As with all CPU's care should be taken when installing and handling the CPU, but other than that it's relatively straight forward.All I have to say, is this CPU is a beast. Like its so overkill for the average user. In for gaming it is just overkill. It is the perfect CPU for me, but also for those who do intensive work loads, such as running running large data models for AI purposes.My particular use case for this CPU was to allow me to build a virtual lab to which I could analyse malware in an virtual sandbox, whilst also emulating real world hacking attacks. At present I am able to run several virtual machines with no performance issues. As you can probably imagine, this power hungry beast can get warm, but with an adequate cooling solution, there should be no issues in keeping the PC nice and cool.  I have paired this CPU with an AIO, and also additional fans for the case to ensure there is a lot of air flow to ensure that the thermals are a good temperature.My advice to anybody purchasing this CPU - go for it - it's well worth the investment, while at the same time you'll be future proofing your soon to be BEAST of a machine for the next 10 years.",Its a BEAST,i9 13th Gen,en
Netherlands,5,I use it with a BeQuiet Dark Rock 4 Pro cooler and very rarely do I see thermal throttling even when gaming.,"Proper beast, no major heating issues",i9 13th Gen,en
United Kingdom,3,"80 c when gaming on some demanding titles.... sheesh especially when i paired it with a 660f like a moron. and not its not my cooling, probably far more expensive than yours. so im guessing deficient",Hot asf even with good cooling,i9 13th Gen,en
Germany,4,"works very well, but heats up a lot so you have to provide good cooling",very hot,i9 13th Gen,en
United Kingdom,5,Good chip for 3d work or gaming.,Good choice,i9 13th Gen,en
United Kingdom,5,"Fast, capable and stable. Does run a bit hot but coupled with water cooling all’s good.",Banging processor!,i9 13th Gen,en
Germany,5,"Best high end CPU for the money (as of time of writing this review, the 7950X3D is more expensive, not as widely available, and has strange gimmicks with Xbox Game Bar, so I avoided it). Despite all the news of it running extremely hot and hitting 300W, you can actually change this in your BIOS. On my Asus board, the default setting boosts it to ~310W for a short while causing 102°C on my 360mm Arctic AIO before dropping to something more reasonable. YOU CAN DISABLE THIS and enforce Intel stock 250W limits. Doing this led to no throttling and no crazy 100°C moments. This is not an inferno of a chip, your motherboard makes it one, so carefully check your BIOS settings if that bothers you!I'm happy that this chip does phenomenally in gaming and productivity both, so I can easily recommend it. (also, the packaging is pretty cool)","Fast, but not hot!",i9 13th Gen,en
Germany,5,"A great modern CPU with beastly power, the13900K takes the best from Alder Lake and amplifies potential by a great margin! It adds more cores, larger cache, much faster memory and sky high frequencies. Really great multi-core scores and the performance results in gaming are fantastic which make the 13900K the world’s best gaming processor.The 13900k I am using produces an ""ok"" SP score of 99 on the ASUS Z790 Extreme but that doesn't mean it doesnt clock great . In my case just using AI tuning, the ""out of the box"" clocks I got were 6100ghz with 1.390v stable (both of these numbers will improve with custom overclocking).The temps are 34-39c idle and a max gaming temp in the area of 58-64c, those temps are with a Lian-Li Galahad 360 AIO cooler and TG kryonaut Extreme thermal paste.Total power consumption in every day usage and gaming never exceed 130 watt and total system power draw (Including a 4090) in everyday usage is around 140-145 watt (picture included on power supply maximum draw).",Intel is back with serious performance improvements.,i9 13th Gen,en
United Kingdom,5,epic,epic,i9 13th Gen,en
United Kingdom,5,First 1 that arrived was oddly dead on arrival but ordered a second and got it installed today. Can't believe how fast it is. It requires a fair amount of bios tinkering to get the voltage under control but once you get it into a more sane temperature range its a monster.,Whoa,i9 13th Gen,en
Germany,5,"The best CPU you can get at the moment value-wise. Initially looking for the 13900KS, but switched to 13900K for the money value.I don't regret it.Very stable, very good at multitasking and gaming at the same time. Tops out all performance and stress tests. Paired with AIO Ryuo III cooling on Z790-E ROG motherboard.",TOP performance,i9 13th Gen,en
