country,ratingScore,reviewDescription,reviewTitle,Model,Core
India,1,Fan is not working faulty device.Suggest not to buy this from hereNo support help me 😞Very disappointed,Faulty product,i5 12th Gen,i5
India,1,"I recently purchased an i5 processor from Amazon, and unfortunately, it turned out to be defective. Despite my efforts to seek assistance from Amazon, their customer support proved unhelpful, leaving me frustrated with my hard-earned money seemingly down the drain. Disappointed with both the product and the lack of support, I advise potential buyers to exercise caution when considering this purchase.",Disappointing Experience with Defective i5 Processor,i5 12th Gen,i5
India,1,"Don’t buy, there’re selling used and defective product.",I received used product.,i5 12th Gen,i5
Australia,1,"Received this today, cpu was pre used and rattling around in the box in a sandwich bag. Thermal paste smeared around the cooler and cpu.",Used CPU,i5 12th Gen,i5
United Kingdom,1,Still waiting for my refund after a faulty mother board ruined the cpu and possibly my gpu amson customer service is terrible have absolutely no understanding of technical stuff and couldn't care less that I'm sat here with no computer unable to make aliving and won't even compensate for the rest of the damage the faulty mother board has caused to my pc quick enough to take my money but every excuse under the sun not to give it bk,Waiting for refund,i5 12th Gen,i5
Australia,1,came in with broken fans on delivery,broken fans,i5 12th Gen,i5
United Kingdom,1,Disgusting! I bought this for my son for Xmas!! The seal is broken and only part of appliance in the box!! My sons Xmas is now ruined!!!,Part empty box,i5 12th Gen,i5
India,3,Caution : Price 18k is Overprice now. Please buy it under 15k only otherwise check some other applications/sites for better price.,Overprice now. Try to buy it under 15k only,i5 12th Gen,i5
Australia,3,What’s that noise? Oh it’s a broken cooler fan blade. Intel QA must have missed this one… shame,Broken cooler fan,i5 12th Gen,i5
United Kingdom,3,"This is a pretty powerful, modern Intel processor which I bought when replacing my gaming PC.On this front, me and Intel agree and are friends, it was in fact a powerful enough processor for most forms of gaming, which was easy to install.However, do NOT use the stock cooler that comes with this thing!If you just want to run your average PC game (FF14, Halo, etc) then you'll find it is strong enough to handle that without breaking a sweat.However, if you are intending to do video or photo editing, or God forbid emulation, then you'll find yourself with the loudest, most ineffective fan I have ever had the misfortune of witnessing.When I fast forward games in PCSX2, it can reach 90C which is 30 above what my previous computer's stock cooler would keep it locked at under any circumstances.I would tell you how hot it got trying to run RPCS3 but I immediately went for Task Manager to close the application after I saw it hit 100C!TL;DR: If you intend to use more than 30% of this processor's true capability, you cannot just use the cooler that comes with it.Extremely disappointing, and I'm kicking myself for not researching this more thoroughly, as I had erroneously thought from past experience that it could handle basic tasks without sounding like a helicopter taking off.",Do NOT use the stock cooler!,i5 12th Gen,i5
United Kingdom,3,"The CPU is perfect and amazing im not going to lie about that and it works as it was expected and even higher then that, in Fortnite i went from 110fps to 312fps and that REALLY SHOCKED ME because thats a big jump and it is Amazing how GOOD this CPU is so i am Really Happy about it but the reason i did not give it 5 starts is due to when it arrived at my house and i unboxed it, 1 prepeller of my CPU Fan was broken and i tried contacting but i coulnt not fix the issue so i have to live with 1 part of the Fan missing and due to that it makes alot of sound when it speeds up so i have to buy a PU Fan septuratly, so not very happy on that end but a Very Good CPU in general and dont leave it just because you read this review lol im just unlucky the CPU is REALLY GOOD trust me.",Amazing CPU but not the fan....,i5 12th Gen,i5
Germany,3,Top,Sehr gutes Preisleistungsverhältniss,i5 12th Gen,i5
India,5,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .,Very Great Processor . . .,i5 12th Gen,i5
India,5,Try to get it under 10k and check the rankings in details sections before buying anything,Got it under 10k,i5 12th Gen,i5
India,5,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.",Highest Price to Performance processor for gaming.,i5 12th Gen,i5
India,5,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround,Nice processor under 12k,i5 12th Gen,i5
India,5,"It runs well for productivity tasks, 6 cores cpu is minimum requirement for smooth running any large software.",12400f,i5 12th Gen,i5
India,5,"Got at the cheapest price of 10250Rs in the sale. I was a bit worried about getting scammed since this Processor was never sold for this low price, but guess I was in luck. The performance is just as good as expected 😄",Just as expected 😄,i5 12th Gen,i5
India,5,"This is the king in Price-to-performance ratio.Paired with a 1660S, most games are giving me 90-100 FPS on high settings.",Bang for the buck,i5 12th Gen,i5
India,5,I like Intel processors. I found this and liked it. Working like a charm. Will do overclocking and test it.Overall great product,Great product from Intel..,i5 12th Gen,i5
India,5,I am used processor gigabyte motherboard  working properly 2.5 gh speed 12 logical processor working properly,I am used processor good condition,i5 12th Gen,i5
India,5,"Received in good condition, good packing and got it for only 11900 value for money beast .",Received in good condition,i5 12th Gen,i5
India,4,"This will not work without graphic card, So be careful before ordering.",No discrete graphics in this processor,i5 12th Gen,i5
India,4,"This one has no graphics processing unit and hence if you use this without graphics card, the bios will not boot.Other than that this is an excellent processor",Keep in mind to definitely buy a graphics card,i5 12th Gen,i5
India,4,"After installing it, Windows 11 is giving the following description of the processor:12th Gen Intel(R) Core(TM) i5-12400F  2.50 GHzIt requires a graphics card.",Good processor,i5 12th Gen,i5
India,4,"The cpu is overall great for everything, it’ll give you flaw less performance in mediocre level video editing and hardcore level gaming and streaming. If you are looking to buy this just for gaming this is the perfect buy. But the only thing disappointing is the stock cooler. First of all I would like to request intel to please stop making this clip coolers they are so unreliable and annoying sometimes it fits sometimes it doesn’t. And also the clips are so fragile that you might break one someday trying to fit it just provide us with a simple screw and bolt cooler with a proper mounting. Also the performance is not nice, many would say stock cooler is more than enough for 12400f but in my case when rendering a video my cpu temps touched 100 degrees so I took out the cooler and reinstalled it to ensure proper installation but still it was going 90 to 95+Degrees. And it was approx the same case while gaming. Idk maybe my cooler clips are just faulty that the cooler is not able to mount properly and is not doing any cooling. So be careful with the stock cooler, or I would suggest to buy an after market cpu cooler or aio especially you live somewhere like India where it gets to 40 degrees easily and you don’t have an ac in your room, aio is the choice.",Great process but pathetic Stock cooler,i5 12th Gen,i5
United Kingdom,4,Would be useful to specify which boards it will work with as plug and play no longer exist.,"Ideal as an upgrade for older computers, but will only operate in specific boards.",i5 12th Gen,i5
Australia,4,It great if you're trying to make a mid-range PC but you could spent a little more and get the i5-12600k or the i5-13500,Great for cards in the 3060 to 3080 power,i5 12th Gen,i5
Belgium,4,"I love this cpu and its price tag. It can handle the newest games well and works quite well for graphic design applications. The only issue I have with this is your ram is locked to a maximum of 3200mhz. If you want to get it higher, consider a 12400KF",Very good 6 core,i5 12th Gen,i5
Australia,5,"Price, performance, gaming?This CPU is beyond amazing, and then you see the price and holy moly it is a powerhouse at an unbelievable price.",Best gaming cpu on the market!,i5 12th Gen,i5
United Kingdom,5,"Good single thread performance with 6 cores and 12 threads. Relatively low power too @65w so suitable for silent PC, at much lower price point than T coded CPUs (35w).",Sweet spot,i5 12th Gen,i5
Australia,5,well nuff said it works. 5 stars for you sir,works like a charm,i5 12th Gen,i5
United Kingdom,5,I really liked that they delivered it with care and it was on time. That was the most important part. so it was timely and they delivered it with less than a day. I like the quality but cant say it’s the best 7.5 / 10 I hope it came with a cooler for all this money tho cuz I aint keeping this if it didn’t I legit spent 100 quid on this over that. So hopefully it did,It’s great!!,i5 12th Gen,i5
Germany,5,Top processor at an acceptable price,Super,i5 12th Gen,i5
United Kingdom,5,Bought this for a new build I was doing. Performed great for the price and runs cool just using the stock cooler it came with.No hesitation in recommending for quality and performance verses price,Great Price for a great chip,i5 12th Gen,i5
United Kingdom,1,"I have bought this item, for the first 4 months was working without any issues, but then suddenly stopped. I have checked all other parts and I`m sure that is the part is faulty. I have contacted the seller, but no response at all. Amazon also did not support in this case.",Stop working after 4 months,i5 12th Gen,i5
United Kingdom,1,"Arrived in a ""not new"" condition in an open box with the tamper seal brokenThis was purchased as a new product",Product received in an open box with tamper proof seal broken,i5 12th Gen,i5
United Kingdom,1,bought this nearly a month ago for my brother's new machine to surprise him as a combined birthday and christmas gift but it will not turn on and the celeron cpu i bought off ebay works fine sadly so i can only guess now that it is a problem with the cpu.,not working,i5 12th Gen,i5
Italy,1,SENZA PROCESSORE,SCATTOLA ROTTA E SENZA IL PROCESSORE,i5 12th Gen,i5
Spain,4,Top,Top,i5 12th Gen,i5
Germany,5,Like,Keren,i5 12th Gen,i5
Italy,5,Superrrrrr,👍,i5 12th Gen,i5
France,5,Top,Top,i5 12th Gen,i5
India,5,Good Product,Received Original Product,i5 12th Gen,i5
India,5,"Got this product in good package 📦.I have paired this cpu with my RX 590 and 16 GB RAM 3200 MHZ,If you are looking for budget gaming, this is excellent.Gaming benchmark:Assassin's creed unity: 80 fps high setting.Apex legends: 144+ fps ultra settingsPubg steam: 110 fps, very high settingsThe cpu temp goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put heatsink correctly. Stock cooler is enough.I am using msi H610M-G motherboard, the stock cooler gives enough room for ram sticksMake sure to have psu of at least 500 watt.",Totally Worth it,i5 12th Gen,i5
India,5,Value for money,Very nice product,i5 12th Gen,i5
India,5,GAMING WITH GTX 1650GTA V ON ULTRA  AVG 90FPSPUBG ON ULTRA  AVG 120+FPS,BEAST IN THIS SEGMENT,i5 12th Gen,i5
India,5,Good  not open box,Good,i5 12th Gen,i5
India,5,This is excellent budget gaming processor... Value for moneyThe stock cooler is waste.. Better get one external cooler from coolermaster or corsair or deepcool,Excellent budget gaming processor,i5 12th Gen,i5
India,5,Excellent for beginners and students,Good for beginners,i5 12th Gen,i5
India,5,Must buy for gamers,Superfast..alder lake processor,i5 12th Gen,i5
India,5,been using it since an year no problem at all can run any current AAA game can handle multi tasking mid to not very high level gaming with no problems if u have other good combination of components integrated,Nice,i5 12th Gen,i5
India,5,Best processor in this price range. Best performance all togethe.,Best in this price range,i5 12th Gen,i5
United Kingdom,4,The Cpu is 10/10 for the money. The stock cooler is a problem getting loud at normal temps 55-70.It sounds like an engine,The cpu is 10/10 for the money BUT!!,i5 12th Gen,i5
France,4,ras,prix performance,i5 12th Gen,i5
Germany,5,Great combo when paired with a 3060,Value for money,i5 12th Gen,i5
India,5,"It is a good processor to build a low budget computer. In this processor, you have to install a separate graphic card. For the display, I would also say that installing a cooler or a liquid cooler is also very important because this processor heats up more.",best value processor,i5 12th Gen,i5
India,5,"Got this product in good package 📦.I have paired this cpu with my RX 590 and 16 GB RAM 3200 MHZ,If you are looking for budget gaming, this is excellent.Gaming benchmark:Assassin's creed unity: 80 fps high setting.Apex legends: 144+ fps ultra settingsPubg steam: 110 fps, very high settingsThe cpu temp goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put heatsink correctly. Stock cooler is enough.I am using msi H610M-G motherboard, the stock cooler gives enough room for ram sticksMake sure to have psu of at least 500 watt.",Totally Worth it,i5 12th Gen,i5
United Kingdom,5,I've owned more expensive CPUs - up to AMD Ryzen 9 and Intel 13900K. In most cases these were overkill and ran hot with high wattages! Most of the work I was doing offloaded everything to my GPU so having a beastly CPU was a waste.I've downgraded to this CPU in my main desktop rig. It's great for productivity software (music and design work) as well as gaming. I have it paired with a RTX 4000 series card and haven't noticed a significant drop in frame rates whilst gaming. (maybe 1-5 FPS) In most games I max out the monitor's 144Hz/FPS at 1440p.One different thing about this CPU over other Intel offerings is that it has 6 performance cores (with 12 threads - hyperthreading) and no low powered efficiency cores. (they are only really needed for laptops anyway to save battery power!)The CPU is also very efficient and runs quite cool. Mine is 26c when idle and 26-30 light tasks such as browsing the web. During gaming - the temps are usually in the mid 50s. Benchmarking (such as Cinebench and Geekbench etc) reaches mid 60s. I am using a two-fan DEEPCOOL AS500 PLUS air cooler with three case 120mm fans.All in all - very happy with purchase and highly recommend! :),Bargain priced CPU - low power draw with great productivity and gaming performance! :),i5 12th Gen,i5
Sweden,5,"Switched from 6th gen i5 (6600k) to 12400f, I can feel the significant improvement. Especially with daily tasks and games it works perfectly. I got ddr5 6000mhz cl30 ram as well, works without a problem. Combined with 4060 ti, consumes such little power and gets everything i need done so far.I got a noctua cooler for it though, works really quiet and cool. Perfect for the price. About 500sek cheaper than the version with integrated graphics, but there are low profile gpus in case you want it as a simple daily or office use.",It goes brrrr,i5 12th Gen,i5
United Kingdom,5,"Was going for a top end 1080p build and from all the reviews I’d read, the 12400F seemed like the best option. Easy to instal. Came with a cooling fan although I chose to use a bigger air cooler.",Perfect For My Build,i5 12th Gen,i5
United Kingdom,5,"I am not a gamer but like to keep reasonably up to date and this intel cpu fits the bill for me. Its fast and works well with my motherboard. Reasonably priced for what it does, the cooler provided is ok for my needs as well but can get a bit noisy when the cpu remains at high % for some time. But overall very happy with this processor.",Good performance,i5 12th Gen,i5
India,5,Nice product.... You can go for it !!,Deadliest Processor for Gaming,i5 13th Gen,i5
United States,5,"The Intel Core i5-13600K (Latest Gen) Desktop Processor is a true powerhouse, delivering unparalleled performance with its 14 cores, consisting of 6 P-cores and 8 E-cores. This processor has far exceeded my expectations, providing seamless multitasking and blazing-fast performance for all my computing needs.The standout feature of the Intel Core i5-13600K is its 14 cores, making it one of the most powerful processors in its class. The 6 primary cores (P-cores) are designed for single-threaded tasks and applications, ensuring lightning-fast responsiveness and smooth user experience. Additionally, the 8 efficient cores (E-cores) cater to multithreaded workloads, providing exceptional multitasking capabilities and maximizing productivity.With the latest generation technology, the i5-13600K unleashes the true potential of Intel's cutting-edge processor architecture. Whether I'm gaming, streaming, video editing, or running intensive software applications, this processor handles it all with ease.The integrated graphics of the i5-13600K eliminate the need for a discrete graphics card for everyday tasks and light gaming, providing a cost-effective and space-saving solution for those who don't require dedicated graphics processing.The unlocked multiplier of this processor allows for easy overclocking, making it an excellent choice for enthusiasts and gamers who want to push their system's performance even further.I appreciate the low power consumption of the i5-13600K despite its impressive performance, contributing to energy efficiency and reduced operating costs.The Intel Core i5-13600K is compatible with the latest motherboard chipsets, ensuring seamless integration and future upgradability.Intel is a trusted brand known for producing high-quality processors, and the i5-13600K continues that legacy, providing a reliable and stable computing experience.In conclusion, the Intel Core i5-13600K (Latest Gen) Desktop Processor with its 14 cores is a performance beast, capable of handling the most demanding computing tasks with ease. Its balanced combination of P-cores and E-cores, unlocked multiplier, integrated graphics, and energy efficiency make it an ideal choice for power users and gamers alike. If you're looking to unleash the full potential of your desktop, the Intel Core i5-13600K is the ultimate processor that won't disappoint. I highly recommend this processor for its outstanding performance and the incredible multitasking capabilities it brings to my computing experience!",Unleash the Power of 14 Cores for Ultimate Desktop Performance!,i5 13th Gen,i5
Singapore,5,i5 1X600Ks are always that sweet spot!Great thermals and excellent performance!Time to buy a 7900 XTX!,Great Buy!,i5 13th Gen,i5
