country,ratingScore,reviewDescription,reviewTitle,Model,Langauge
India,5,"I brought this processor for my gaming/workstation build .Combining this processor with nzxt 360 mm liquid cooling AIO , things went smoothly.It can handle literally all heavy tasks like 3d rendering , simulation , gaming , yet keeps temprature at 40c .Highly recommended for best gaming rigs .Note: 4th gen ssd is a plus for the build ... Otherwise there might be bottleneck with gen3 ssds while doing 3d rendering works .",This processor is a beast 🔥,i9 12th Gen,en
India,5,Was using amd cpu untill now. Cpu died in 2 year only. Now back to intel. Dad of AMD .,Nothing can beat intel,i9 12th Gen,en
France,5,Bien,Produit conforme à la demande.,i9 12th Gen,en
United States,5,"I recently got my hands on the Intel Core i9-12900K Desktop Processor, and I have to say, I am blown away by its performance. This processor is an absolute powerhouse, with 16 cores (8P+8E) and speeds of up to 5.2 GHz. It's also unlocked, which means I can push its limits even further if I want to.Installing the processor was easy enough, although I did have to make sure my motherboard was compatible with the LGA1700 socket and 600 series chipset. Once I had everything set up, I fired up my favorite games and applications to see how the processor would perform.The results were nothing short of impressive. The i9-12900K chewed through every task I threw at it with ease, from demanding video editing software to the latest AAA games. I was able to multitask without any lag or slowdowns, and my system felt incredibly responsive and snappy.The processor also runs surprisingly cool, even under heavy load. I did notice a slight increase in power consumption compared to my old processor, but it's a small price to pay for the sheer performance boost.Overall, I am extremely satisfied with the Intel Core i9-12900K Desktop Processor. If you're a power user or a gamer who demands the best performance, this processor is definitely worth considering. It's not cheap, but in my opinion, it's worth every penny for the sheer power and speed it delivers.","The processor also runs surprisingly cool, even under heavy load.",i9 12th Gen,en
Japan,5,"I purchase this CPU 1 year ago and it cost me 74,000 JPY back then.the price didn't drop much since that time and the performance is satisfying so far.the new generation spec is higher so if you want to buy this CPU don't. instead, you can buy i7 Gen13 as it will have the same spec plus a better cache than the 12 Gen.it might be better to buy the K version in case you have issues with your GPU to troubleshoot.",all wat I needed for the next coming 5 years,i9 12th Gen,en
United Kingdom,5,Bought for a friend's computer I was building. I got it in the Prime sale and it's fantasticly fast,Great CPU,i9 12th Gen,en
Canada,5,This CPU has 24 threads and 16 cores (8E cores and 8P cores) which really makes difference when dealing with 3d graphics and to prevent bottleneck issuesDoesn't cause a CPU and GPU bottleneck as I only get about 45% GPU usage and stay under 10% load in most AAA titles like Destiny or Call of Duty.CinebenchR23 BenchmarksUsing CINEBENCH R23 I got a score of 27552 which is roughly 70 % of top performing CPU score of  43640.Using Geek Bench 6 testI got a Single core score of 2601 which is roughly 83 % of top performing CPU score of  3097 And a multi-core score of 12821 which is roughly 56 % of top performing CPU score of  21742,A performance Beast CPU,i9 12th Gen,en
Japan,4,"Low binned CPU, bad CPU score",Made in China,i9 12th Gen,en
United States,4,Is 50c high?  Feels like it to me... under really heavy loads barley his 60. I have liquid cooling cpu & gpu aids and 9 fans.  Still seems high IDK,runs hot,i9 12th Gen,en
United States,4,"Came packaged kinda poorly, and didn’t include the golden coin case, which makes me think maybe it was pre owned. When I opened the packaging though it had no paste on it and the pins looked brand new, so maybe they just don’t include it anymore since it isn’t the newest flag ship??","Works great so far, maybe pre owned??",i9 12th Gen,en
United States,4,"I bought this instead of the 12th gen i7 anticipating future demand for more cores. There is a price difference to consider. As many know, more cores doesn't necessarily mean better. Games only use a max of 6 cores, though it may vary from game to game. If you just want to game, buy the i7 series. My 4790k had served me so well, it's still my backup on my old mobo. It's been at least 5 years since I bought ol' reliable. She's been through rough seas. It was time for her to rest easy.For the i9, in terms of gaming performance, only CPU heavy games like RTS games will see any benefit. Multi-tasking also sees benefit, though that's limited to the hard drive it's working off of. Still, I expect great things in the far future.The packaging is a keeper to be sure, too.",So many cores to use!,i9 12th Gen,en
United States,4,"The 12900k can be hard to justify. The 12700k is around two-thirds the cost and the difference in performance is only a few percent. Furthermore, you can get away with a moderate cooling solution on the 12700k whereas the 12900k really requires a top of the line cooler which will set you back even more. Even while using the NH-D15 CPU cooler I decided to underclock the 12900k a little bit in order to keep thermals in check, bringing the performance nearer to the 12700k. Given the option to do it over, I would have just gone with a 12700k and saved myself about $250.",Not worth it over the 12700k IMHO,i9 12th Gen,en
United States,4,"Aside from the nightmare Alder Lake is with ram clocking, this thing does everything you need to. Consistently hits 5.1 - 5.2ghz when needed.Don't listen to the AMD fanboys who try to slander this chip for its heating. I literally just have a 240mm AIO and it doesn't go above 78° and when gaming never even touches 70°. Just do 5 seconds of research on a half decent air cooler or AIO and you're fine with temps",Just about the best gaming chip you don't need!,i9 12th Gen,en
United States,4,"Very excited to get up and running, came in OG box sealed. Took a long time to get but very pleased",Love this,i9 12th Gen,en
United States,3,I bought this thinking it came with the whole case and everything but it came in a cheap little box that was half crushed.,Good performance but missing the whole box,i9 12th Gen,en
United States,3,ordered a new intel i9-12900k processor and the box was fine and sealed and all appeared to be normal with it not opened. Removed the cpu and placed into motherboard ( new lga 1700 mb with the latest bios ). booted up the system and it reported and showed a Celeron G6900. This is unacceptable. Working with amazon support on returning it now. for the replacement unit I will video opening the box and the cpu as it is removed.  Have not had this issue before with a sealed box.,"ordered new cpu , got a Celeron g6900 in the box. be careful",i9 12th Gen,en
United States,5,This thing was so patient with me as I turned it on without a cooler several times because my pump was failing. Sure it shut off when it hit ~102 Celsius but there was no long term damage and now it serves me well with a working pump. We love to see it.,Absolute Saint,i9 12th Gen,en
United States,5,"Bought this CPU on sale, and it runs fast and stays cool. Mine is running at 5.2 ghz with temps in the 40's on AIO on an ASRock Z790m ITX. I am super impressed at this combination of speed and reasonable temps. Have not gamed yet, but I expect killer performance!!",Great CPU - POWER,i9 12th Gen,en
United States,5,"Using this to serve movies and shows using PLEX, handles continuous recording of several 4K surveillance cameras using Blue Iris, runs a web server (just for family), and controls a Z-wave home automation program involving several nodes. I also use it listen to my collection of music. It does all of these tasks (along with other minor things) without a sweat. Generally it keeps under 15% utilization. Thank you Intel!",It's a work horse,i9 12th Gen,en
United States,5,I only used laptops up to this point and this is my first PC build however I got this processor specifically for Workstation class computation and high performance gaming. The Core i9-12900K is blazing fast and uses very little watts for gaming mostly hovering around 65W~80W in the games I have played so far. It renders 3D projects at such a speed I hardly have time to do something else before it is complete which is a great change of pace. I would say the Core i5-12600K is better geared for gaming and this is much more geared towards production or enthusiast class gaming. I highly recommend this processor or anything in the 12th gen Alder Lake family.Full System Specs:・ASUS Prime Z690-A・Noctua NH-D15 Chromax Black・Intel Core i9-12900K 5.2GHz・NVIDIA RTX A5000 24GB ECC・G.Skill Trident Z5 RGB 32GB 5600MHz・Samsung 980 PRO 2TB M.2 NVMe・Samsung 970 EVO Plus 2TB M.2 NVMe・Samsung 970 EVO Plus 2TB M.2 NVMe・Samsung 970 EVO Plus 2TB M.2 NVMe・EVGA Super Nova G5 850W 80 Plus Gold・Fractal Torrent Gray E-ATX Mid Tower Case,Insanely fast computation!,i9 12th Gen,en
United States,5,Bought on sale.My rig placed in the 97 percentile. The pc is overclocked.The processor is running cool and stable. No issues yet.Would recommend,Zoooooom,i9 12th Gen,en
United States,5,"This CPU is top quality, it is easy to install and works great for gaming, it stays cool and I have had no problems with it.",Perfect,i9 12th Gen,en
United States,5,"It's great, I'm using 13900k but wanted a better cpu for my 2nd PC, and it's great, especially for compute tasks and multi-threaded workloads. The raptor lake,  and forthcoming, will of course be better, but if you need the best Alder Lake CPU and can find a decent deal, it won't let you down. I'm able to cool it efficiently with a Noctua N-14 (single stack, single fan setup) and it works great.","Got with the 900d Optane SSD, killer deal, but better CPU",i9 12th Gen,en
United States,5,"I bought it with price lower than I7-13700, which was very good choice and happy with the decision",Power at good price,i9 12th Gen,en
United States,5,"This unit is powerful for all of your needs. Just remember this thing runs really hot!!! Make sure you use a good cooling system. Otherwise, you will have thermal throttling issues.",Powerful,i9 12th Gen,en
United States,5,Great Processor,Great Processor,i9 12th Gen,en
United States,5,This is the fastest processor I've ever owned and with it I upgraded my entire pc.  Even though I purchased last years model it's still extremely fast and works well.. Make sure you pair this with a good motherboard otherwise it can run pretty hot.,Best processor I've ever owned.,i9 12th Gen,en
United States,5,Could is great but. Boy does she put off some heat. Feels like a furnace under my desk,Good but very warm,i9 12th Gen,en
United States,5,"This cpu is killer and can literally handle any game you throw at it on max settings, and the same can be said for most workload programs. However I bought it back in early 2022, when it was still way overpriced for what it is now",Amazing CPU but bought at the wrong time lol,i9 12th Gen,en
United States,5,"Really fast for gaming, excellent speeds. Intel Driver software is nice too.",Good for Gaming,i9 12th Gen,en
United States,5,supper fast works just grate,I 9 Intell Core,i9 12th Gen,en
United States,5,Not sure if I bought the best in terms of value and performance!,It works,i9 12th Gen,en
United States,5,"I Did install it on ASUS ROG Maximus Z690 Formula(WiFi 6E)LGA1700, the motherboard is already high price unworthy money & CPU is overpriced, but it has great performance overall, Thanks to the seller is trusted!",Core i9-12900K is pretty Good CPU for Modern gaming,i9 12th Gen,en
United States,5,"I'm very satisfied with this processor, I've used Intel for many years now and I've never had any problems with them. Looking back when I first started computer gaming, I was gaming on a 386 dx66 that I bought from Mongomery Wards...lol..",Satisfied,i9 12th Gen,en
United States,5,This thing us fast and rock solid love it!!!,Awesome Processor,i9 12th Gen,en
Canada,5,great CPU but it was running hot for me but still great product..,great CPU but runs little hot,i9 12th Gen,en
United States,5,I absolutely love the gold packaging this came in. The product works as intended and it's worth every penny considering how much cheaper it is than the MSRP.,Great Intel CPU,i9 12th Gen,en
United States,5,great seller works perfect,This is Real Works Perfect,i9 12th Gen,en
Canada,5,"Chews through productivity tasks, single fastest single core you can get, bundled with best in class game performance. What else do you need? Only caution I would say is make sure your new motherboard supports sli if you are bringing a multi GPU set up over. Most Z690 boards don’t from my knowledge,",The best CPU PERIOD,i9 12th Gen,en
United States,5,I found this on sale for $350. A 12th gen i9 for a comparable price to an i7 I mean the review writes itself couldn’t have been more excited to get such a great cpu for such a competitive price.,Price to performance,i9 12th Gen,en
United States,5,Awesome Cpu blazzzing fast !!!!!!  for gaming and other  tasks . i see that the temps for this cpu work up into the 70's and even higher 80 + my recommendation is to undervote your cpu if your just gaming that will lower temps. With good thermal paste Kingpin cooling KPX and a water cooler im getting 55-58c in gaming hope it helps.,i9 Smooths as butter!,i9 12th Gen,en
United States,5,The processor is amazing. Upgraded from an Intel 8700k.  Paired it with 6400 mhz DDR5 memory on a AsRock z690 Taichi motherboard  and my Nvidia EVGA 3080Ti and I'm consistently in the top 5% of benchmarks world-wide with barely any tweeks except selecting the XMP profile in my bios. Blows away anything currently AMD is offering in the same price range.,Amazing!,i9 12th Gen,en
United States,5,This was a huge upgrade to my system for good price. Im back into the modern pc world. Win 11 runs great,Awesome,i9 12th Gen,en
United States,5,"There's nothing more to say, if you only want gaming get an i7, unless you're into emulation that's the only instance where you'll get an actual edgeIt runs pretttty hot as it takes over 250 watts if it can, in my case over 270 so keep that in mind",Incredible cpu,i9 12th Gen,en
United States,5,This thing is truly impressive. It also comes in a very shiny golden container. It makes you happy the moment you open the package. As far as I have researched this is the absolute best and most powerful processor on the market as or 9/6/2022. I definitely recommend.,As of 9/6/2022 this is the GOD of processors. If you want the BEST available this is it!,i9 12th Gen,en
United States,5,"I love this processor, it can handle anything I throw at it. The only thing I was concerned with, is that I bought it 'new', but the stickers were peeled off the Intel 12900k box, so I am not sure what was up with that, it looked like it still had the safety seal on it though, but at least it works.",Insanely Fast Processor,i9 12th Gen,en
United States,5,"It will handle all your multitasking needs with ease, even while gaming.Only con I can think of is that it does run very hot so you'll need a high end cooler to get the best performance",Excellent CPU,i9 12th Gen,en
United States,5,Working very good. Thanks,Very Good product,i9 12th Gen,en
Canada,5,"This thing never goes over 15 percent usage, and most games its actually using 0-4 percent. Even on Escape From Tarkov at max settings 4k 140+ fps its using 4 percent at max and usually is at 0-1 percent, I don't know if it's my computer reading an error but I use a few apps to check including the task manager tab. I use an NZXT AIO and the temps on this thing are under 20 idle and when I'm gaming on any game it never goes over 45 and usually is in the low 30s. I tried WOW classic, Retail,  Cyberpunk, Spiderman , and regularly play Escape from tarkov and all at 4k max settings and this thing just stays cool and and low usage. My GPU barely works as I have a 3090 TI, my GPU is usually at USAGE 40-50 percent at max 60 percent and stays cool, so I don't think anything is bottle necking.My old computer has an I5 and I have a laptop with an I7 and when I am gaming they are usually at 90+ percent usage. Even my friend with the AMD 5800x3D was getting at least 30+percent usage for AAA games. This is the first Computer I've built where I'm actually not even worried about the CPU for how cool it runs. I'm really shocked on how good its performance is, Definitely recommend.","Best CPU I've owned, Lowest temps and usage",i9 12th Gen,en
United States,5,works perfectly under load. work mostly on architecture and rendering,perfect,i9 12th Gen,en
United States,5,"Works great in my new system. I wouldn't say easy to install, but none are, I always sweat bullets when I latch down the CPU holder. But other than that stable and powerful. Here's my build, rock stable and fast as hell!Logitech G502 HERO High Performance Wired Gaming MouseLogitech G910 Orion Spectrum RGB Wired Mechanical Gaming KeyboardExternal DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD PlayerCooler Master SickleFlow 120 V2 ARGB 3in1 Square Frame FanCooler Master MasterFan SF360R ARGB 360mm All-In-One Square Frame Fan w/ 24 Independently-Controlled ARGB LEDSASUS ROG Strix Z690-E Gaming WiFi 6E LGA 1700(Intel 12th Gen)ATX gaming motherboardCooler Master Hyper 212 Black Edition CPU Air CoolorCylewet 10Pcs Mainboard Computer PC Internal Speaker Buzzer Computer Case BuzzerIntel Core i9-12900K Desktop Processor 16 (8P+8E) Cores up to 5.2 GHz UnlockedSAMSUNG 870 EVO SATA III SSD 1TB 2.5” Internal Solid State Hard DriveCooler Master MasterBox TD500 Mesh Airflow ATX Mid-Tower with Polygonal Mesh Front Panel, Crystalline Tempered GlassCorsair Vengeance DDR5 64GB (2x32GB) 5200MHz C40 Intel Optimized Desktop MemoryCorsair RMX Series (2021), RM1000x, 1000 Watt, Gold, Fully Modular Power Supply,BlackSAMSUNG 980 SSD 1TB PCle 3.0x4, NVMe M.2 2280, Internal Solid State Drive",Sweet!,i9 12th Gen,en
Canada,5,Just a quick swap from a I5 to this on a 660 moboNoticed a difference right away in cities skylines 2That's all I needed,Speedy,i9 12th Gen,en
Canada,5,Merci,Merci,i9 12th Gen,en
Canada,5,"Faster Read, Write speeds than I-7. Easy Install. I recommend a Liquid cooler if you Overclock--otherwise the revved Fan noise will irritate you.I returned one -new unopened because the Motherboard I ordered for it arrived Damaged.",Great Product- Bought 2.,i9 12th Gen,en
United States,5,"Had a 11900K prior to this one, and as fast as it was even being overclocked to 5.3 ghz - the 12900K is just simply better. Put a minor overclock to 5.2 ghz and it's been so nice. P cores are freed up to do what they're supposed to do. E cores do the chores! Was hot at first before undervolting, but now that's done and temps are high 70s with a 360 mm Corsair AIO. Paired up with a Z690 from MSI and a RTX 3090 it's just the perfect combo. 12900K is completely free to do the data processing for the game, and 3090 handles the graphics side in all my triple A titles without needing to borrow from the system memory at all - needing to pull data through the processor. Resizable bar enabled and it's been awesome. Was worth every penny.",i9-12900K an excellent buy it！！,i9 12th Gen,en
United States,5,I was going to go for the 13900k but I took this one for half of the price and have to tell u love it thank you,Love it,i9 12th Gen,en
United States,5,It's been less then 24hrs since I upgraded from an i7-8700 and could instantly tell a difference in performance. Haven't had the need to overclock since it handles streaming on twitch/kick with obs while playing games on the same PC very nicely at stock settings.,Upgraded from i7-8700,i9 12th Gen,en
United States,5,Fast shipping and great product,Exactly as described,i9 12th Gen,en
United States,5,"many cores, able to run multiple virtual machines with unnoticeable slowdown to other functions. Stays at 1-3% when playing games paired with a  3070. May upgrade to 13th gen later, but i really can't complain in terms of performance. Only have a dualfan/dual heatsink cpu cooler and it stays below 60 celsius at all times. Rests at about 30.",Powerfu and Fast,i9 12th Gen,en
United States,5,This CPU is power hungry under load but in games the CPU is fast. This also works fine for workstation workloads but this shines in gaming for sure. Also if you have the cooling this CPU can be clocked even higher for better performance. But for this you will need a decent CPU cooler.,Great CPU,i9 12th Gen,en
United States,5,great price easy to install,cpu,i9 12th Gen,en
United States,5,Good,12 gen,i9 12th Gen,en
United States,5,"Now has a thin film over it. Don’t know how it receives electricity and signal from the socket on the motherboard, probably similar to wireless charging, but at least it protects the pins so less likely to damage them while handling the CPU during the build. After all CPU is the most or second mot expensive component in a PC build.Other than that, the increase in core count and speed, couple with gen 4 SSD and RTX 3090 ti, everything else is just slow",The connector pins under the chip,i9 12th Gen,en
United States,5,"Received at least a week earlier than the scheduled assessment for delivery.Not installed yet but if you look at video reviews I'm sure you know this processor is going to preform when you need it as a creator.At the moment I'm still using a 2010 year,  i7  that endured the test of time in a properly built computer.Now it's time for the i9 12900K LGA1700 creator build computer to handle photography & video production in 2022.",It comes in a pretty box too.,i9 12th Gen,en
United States,2,Genuinely not someone who leaves reviews but $500 and it gets packaged like this? The cpu box itself is fine but the case isn’t even in the box anymore bc it fell out to due crap packing,Worst packaging ever,i9 12th Gen,en
