country,ratingScore,reviewDescription,reviewTitle,Model,Langauge
India,1,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing,cpu with broken fan,i3 12th Gen,en
India,1,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine.",Good Cpu but awful Delivery,i3 12th Gen,en
India,4,Performance is good,Good,i3 12th Gen,en
India,5,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming.",This is the best you'll get in this price range Thats it!,i3 12th Gen,en
India,5,"This is one of the best cpu in budget if you only looking for gaming.For productivity it not worth buying then you should go for i5 12400fBut for gaming and light cpu workload it work like butter smooth.I have teated some games in it , you can check it on my YT channel R tech studio.",Awesome,i3 12th Gen,en
India,5,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler,Best in price when even compared to i5 10400f,i3 12th Gen,en
United Kingdom,5,all good works as should happy with purchase,good cpu,i3 12th Gen,en
Brazil,5,Bom,Bom,i3 12th Gen,en
United Kingdom,5,10/10 buy now !!!!,Bloody amazing,i3 12th Gen,en
Germany,5,"Pretty cool in terms of temperature, powerful due to new architecture and reliable. Works more than a month in pair with an RTX 2060. No problems occurred during this time, I truly recommend.","Reliable, fast and efficient",i3 12th Gen,en
Brazil,5,Top,Melhor custo benefício,i3 12th Gen,en
United Kingdom,5,Great CPU for the price.,Ideal for Budget gaming,i3 12th Gen,en
India,3,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed.",Used or Unboxed product received,i3 12th Gen,en
United Kingdom,3,"As per the title, Intel's 12th gen lower tier stock cooler is pants. Don't waste your time installing it. Temps are high and it's constantly spinning up sounding like a light aircraft. Additionally if you are UK based and you buy from ""Amazon Global"" and need to return it for any reason, be prepared to have to pay the postage yourself and get reimbursed later. I think this is our fault (Brexit) but either way it's a massive faff","Stock cooler is worthless, and Amazon EU sent me an open box",i3 12th Gen,en
Germany,5,"Runs like a beast , haven’t had any noticeable issues so far.",Amazing!,i3 12th Gen,en
France,5,Bien,Processeur,i3 12th Gen,en
Australia,5,"Works great out of the box, stock cooler is much better than previous generations, overall value is still the best in 2023",Still the best value budget CPU in 2023,i3 12th Gen,en
Australia,5,Love this little bargain of a chip.,Beast of a processor,i3 12th Gen,en
United Kingdom,5,It's fantastic for its price range for a beginner build and how it performs well for a budget CPU.,The price.,i3 12th Gen,en
United Kingdom,5,They perform better than even the 10th Gen i9. It’s absurd how well the current i3s perform when compared to high end chips from even two years ago.,I cannot comprehend how high performance these are,i3 12th Gen,en
